Name,Unit,Expression,Comment
cp_od,mm,320.0,Plate outside diameter; CP-D01 envelope
cp_thk,mm,20.0,"Overall thickness; Z-stack element 2, CP-D02"
cp_mass_max,kg,4.2,Mass limit for verification; CP-15
ch_width,mm,10.0,Channel width; CP-D05; flow area
ch_depth,mm,6.0,"Channel depth; CP-D06; Re ≈ 8,300 (ECR-D-002, APR-019)"
ch_top_wall,mm,8.0,Channel to top face; CP-D07; thermal path
lid_thk,mm,6.0,FSW lid thickness; CP-D08
ch_z_top,mm,cp_thk - ch_top_wall,Channel top surface Z; Derived
ch_z_btm,mm,ch_z_top - ch_depth,Channel bottom surface Z; Derived
lid_check,mm,ch_z_btm - lid_thk,Arithmetic consistency check; Must equal 0. Now evaluates to 0.0.
ch_env_id,mm,60.0,Channel envelope inner Ø; Vol 01 §3.1
ch_env_od,mm,250.0,Channel envelope outer Ø; Vol 01 §3.1; solid under RF land
ch_bend_r,mm,5.0,Minimum bend radius; Vol 01 §6 step 3; erosion
ch_corner_r,mm,3.0,Minimum corner fillet; Vol 01 §6 step 3
bc_ring,mm,302.0,Support Ring tapped BC; CP-IF-2
ang_ring_0,deg,22.5,Ring hole start angle; Vol 00 §3.2
ang_ring_step,deg,45.0,Ring hole increment; Vol 00 §3.2 (8 off)
bc_kin_btm,mm,306.0,"Kinematic locator BC, bottom; CP-D09/D11"
bc_kin_top,mm,260.0,"Kinematic locator BC, top; CP-D10/D11"
ang_kin_btm_1,deg,60.0,Bottom locator angles; Vol 00 §3.2
ang_kin_btm_2,deg,180.0,Bottom locator angles; Vol 00 §3.2
ang_kin_btm_3,deg,300.0,Bottom locator angles; Vol 00 §3.2
ang_kin_top_1,deg,75.0,"Top locator angles; Vol 00 §3.2, re-clocked by ECR-D-010"
ang_kin_top_2,deg,195.0,"Top locator angles; Vol 00 §3.2, re-clocked by ECR-D-010"
ang_kin_top_3,deg,315.0,"Top locator angles; Vol 00 §3.2, re-clocked by ECR-D-010"
bc_choke_out,mm,270.0,Outer choke fastener BC; CP-IF-3
ang_choke_out_0,deg,0.0,Outer choke start angle; Vol 00 §3.2
ang_choke_out_step,deg,30.0,Outer choke increment; 12 off
bc_choke_in,mm,90.0,Inner choke fastener BC; CP-IF-3
ang_choke_in_0,deg,45.0,Inner choke start angle; Vol 00 §3.2
ang_choke_in_step,deg,90.0,Inner choke increment; 4 off
bc_liftpin,mm,200.0,Lift pin bolt circle; CP-D13
ang_liftpin_1,deg,30.0,Lift pin angles; Vol 00 §3.2
ang_liftpin_2,deg,150.0,Lift pin angles; Vol 00 §3.2
ang_liftpin_3,deg,270.0,Lift pin angles; Vol 00 §3.2
bc_hv,mm,60.0,HV feed bolt circle; CP-IF-7
ang_hv_1,deg,0.0,HV feed angles; Vol 00 §3.2
ang_hv_2,deg,180.0,HV feed angles; Vol 00 §3.2
bc_vac,mm,38.0,Vacuum port tapped BC; CP-IF-5
bc_rf,mm,274.0,RF land bolt circle; CP-IF-8
ang_rf_land,deg,105.0,RF land centre angle; Vol 00 §3.2
ang_coolant_in,deg,255.0,"Coolant inlet angle; CP-IF-10; H3 discharged, ECR-D-003"
ang_coolant_out,deg,285.0,"Coolant outlet angle; CP-IF-10; H3 discharged, ECR-D-003"
ring_tap_size,mm,6.0,Ring tapped hole; CP-IF-2; M6×1.0
ring_tap_depth,mm,12.0,Ring tap depth; CP-IF-2 / CP-D20
choke_slot_w,mm,5.5,Choke slot width; CP-IF-3; M5 clearance
choke_slot_l,mm,7.0,"Choke slot length, radial; CP-IF-3; ±0.75 mm travel"
choke_cbore_w,mm,11.0,Choke counterbore slot width; CP-D26 (ECR-D-004)
choke_cbore_l,mm,12.5,"Choke counterbore slot length, radial; CP-D26 (ECR-D-004)"
choke_cbore_dep,mm,2.5,Choke counterbore depth; CP-D26 (ECR-D-004)
kin_cbore_d,mm,10.0,Kinematic locator counterbore Ø; CP-D09/CP-D10 (ECR-D-007)
